Tree no.,X,Y,Elevation,Height,Ht to crown base,Ave radius * 2,Ave radius * 2,Rotation,Red,Green,Blue,CanopySurface
1,802323.00,9714995.00,0.0,32.80,16.40,3.80,3.80,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
2,802324.00,9714946.00,0.0,35.49,17.75,2.43,2.43,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
3,802326.00,9714956.00,0.0,31.03,15.52,3.86,3.86,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
4,802335.00,9714933.00,0.0,31.16,15.58,4.06,4.06,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
5,802338.00,9715007.00,0.0,31.46,15.73,4.14,4.14,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
6,802339.00,9714909.00,0.0,31.02,15.51,3.88,3.88,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
7,802340.00,9714991.00,0.0,35.79,17.89,4.55,4.55,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
8,802342.00,9715036.00,0.0,30.43,15.22,7.14,7.14,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
9,802345.00,9714884.00,0.0,30.37,15.18,5.27,5.27,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
10,802347.00,9714972.00,0.0,30.79,15.39,4.70,4.70,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
11,802348.00,9715061.00,0.0,39.32,19.66,3.72,3.72,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
12,802352.00,9714932.00,0.0,31.07,15.53,6.41,6.41,0.0,0,255,0,E:\Mestrado\Sintegra2019\emerg\result\tiles\NP_T-396chm_tile_0002_0001.dtm
